Date,SP,Marker,Nests,Left Tag,Rigth Tag,Nº Nido,NORTE ,ESTE,,,
2022-07-14,Ei,1,N,,,DB066Ei,09.42871,82.31922,,,
2022-07-14,Ei,5,N,,,DB069Ei,09.42828,82.31596,,,
2022-07-14,Ei,Gundula,N,,,DB067Ei,09.43169,82.30283,,,
2022-07-14,Ei,Gundula,N,,,DB068Ei,09.43167,82.30305,,,
2022-07-16,Ei,Paul,N,,,DB074Ei,09.43244,82.29952,,,
2022-07-18,Ei,2,N,CH11764,CH11765,DB075Ei,09.42861,82.31832,,,
2022-07-18,Ei,4,N,,,DB076Ei,09.42840,82.31678,,,
2022-07-19,Ei,Gundula,N,,,DB077Ei,09.43169,82.30336,,,
2022-07-20,Ei,Paul,N,,,DB078Ei,09.43242,82.29967,,,
2022-07-21,Ei,6,N,,,DB079Ei,09.42828,82.31474,,,
2022-07-23,Ei,6,N,,,DB080Ei,09.42830,82.31502,,,
2022-07-25,Ei,10,N,CH11767,CH11768,DB081Ei,09.42783,82.31093,,,
2022-07-27,Ei,1,N,,,DB082Ei,09.42794,82.31236,,,
2022-07-27,Ei,9,N,CH11769,CH11770,DB083Ei,09.42881,82.31932,,,
2022-07-27,Ei,Gundula,N,,,DB084Ei,,,,,
2022-07-28,Ei,2,N,,,DB085Ei,09.42861,82.31828,,,
2022-07-31,Ei,2,N,CH11772,CH11773,DB086Ei,09.42873,82.31854,,,
2022-08-01,Ei,Gundula,N,CH11774,,DB087Ei,09.43164,82.30336,,,
2022-08-01,Ei,4,N,,,DB088Ei,09.42840,8231676,,,
2022-08-05,Ei,6,N,,,DB089Ei,09.42828,82.31499,,,
2022-08-05,Ei,Gundula,N,,,DB090Ei,09.43163,8.30296,,,
2022-08-07,Ei,6,N,CH11760,,DB091Ei,09.42825,82.31500,,,
2022-08-08,Ei,11,N,CH11767,CH11768,DB092Ei,09.42788,82.31012,,,
2022-08-12,Ei,6,N,,,DB093Ei,09.42826,82.31474,,,
2022-08-13,Ei,5,N,CH11761,CH11762,DB094Ei,09.42828,82.31545,,,
2022-08-15,Ei,12,N,CH12422,CH12423,DB095Ei,09.42803,82.30892,,,
2022-08-16,Ei,8,N,CH11764,CH11765,DB097Ei,09.42775,82.31314,,,
2022-08-16,Ei,Gundula,N,CH11772,CH11773,DB096Ei,09.43157,82.30372,,,
2022-08-16,Ei,Paul,N,,,DB098Ei,09.43247,82.30016,,,
2022-08-19,Ei,9,N,,,DB100Ei,09.42795,82.31229,,,
2022-08-19,Ei,11,N,,,DB099Ei,09.42798,82.30971,,,
2022-08-22,Ei,6,N,,,DB101Ei,09.42830,82.31446,,,
2022-08-23,Ei,10,N,,,DB102Ei,09.42788,82.31056,,,
2022-08-25,Ei,8,N,,,DB103Ei,09.42795,82.31254,,,
2022-08-30,Ei,3,N,CH11798,CH11799,DB104Ei,09.42849,82.31744,,,
2022-08-30,Ei,13,N,,,DB105Ei,09.42820,82.30833,,,
2022-08-31,Ei,11,N,CH11772,CH11773,DB106Ei,09.42803,82.31024,,,
2022-09-01,Ei,6,N,,,DB107Ei,09.42828,82.31501,,,
2022-09-02,Ei,8,N,,,DB108Ei,09.42814,82.31326,,,
2022-09-06,Ei,8,N,CH11766,CH3919,DB109Ei,09.42803,82.31307,,,
2022-09-12,Ei,13,N,CH12422,CH12423,DB110Ei,09.42796,82.31238,,,
2022-09-13,Ei,7,N,,,DB112Ei,09.42830,82.31424,,,
2022-09-13,Ei,8,N,,,DB111Ei,09.12804,82.31231,,,
2022-09-15,Ei,6,N,CH12417,CH12421,DB113Ei,09.42331,82.31416,,,
2022-09-25,Ei,12,N,,,DB114Ei,,,,,
2022-09-26,Ei,4,N,,,DB115Ei,,,,,
2022-10-10,Ei,11,N,,,DB116Ei,,,,,
2022-10-18,Ei,9,N,,,DB117Ei,,,,,
2022-10-18,Ei,1,N,,,DB118Ei,,,,,
2022-10-20,Ei,Cate & Alex,N,,,DB119Ei,,,,,
