"","taxon","reference_no","subfamily","Tribe","Genus","Fossil","min_ma","max_ma","Notes"
"663","Pachycondyla_lutzi",43781,"Ponerinae","None","Pachycondyla","Yes",40.4,48.6,"Note"
"664","Pachycondyla_messeliana",43781,"Ponerinae","None","Pachycondyla","Yes",40.4,48.6,"Note"
"665","Pachycondyla_minutansata",16579,"Ponerinae","None","Pachycondyla","Yes",11.608,15.97,"Note"
"666","Pachycondyla_nubeculata",16579,"Ponerinae","None","Pachycondyla","Yes",11.608,15.97,"Note"
"667","Pachycondyla_oligocenica",56094,"Ponerinae","None","Pachycondyla","Yes",33.9,38,"Note"
"668","Pachycondyla_parvula",43781,"Ponerinae","None","Pachycondyla","Yes",40.4,48.6,"Note"
"669","Pachycondyla_petiolosa",43781,"Ponerinae","None","Pachycondyla","Yes",40.4,48.6,"Note"
"670","Pachycondyla_petrosa",43781,"Ponerinae","None","Pachycondyla","Yes",40.4,48.6,"Note"
"671","Pachycondyla_succinea",44414,"Ponerinae","None","Pachycondyla","Yes",33.9,38,"Note"
"672","Pachycondyla_tristis",44602,"Ponerinae","None","Pachycondyla","Yes",33.9,38,"Note"
"673","Platythyrea_dentata",40294,"Ponerinae","None","Platythyrea","Yes",13.82,20.44,"Note"
"674","Platythyrea_dlusskyi",36397,"Ponerinae","None","Platythyrea","Yes",48.6,55.8,"Note"
"675","Platythyrea_primaeva",38999,"Ponerinae","None","Platythyrea","Yes",28.4,33.9,"Note"
"676","Platythyrea_procera",40294,"Ponerinae","None","Platythyrea","Yes",13.82,20.44,"Note"
"677","Platythyrea_pumilio",44623,"Ponerinae","None","Platythyrea","Yes",13.82,20.44,"Note"
"678","Platythyrea_scalprum",40294,"Ponerinae","None","Platythyrea","Yes",13.82,20.44,"Note"
"679","Ponera_elegantissima",54829,"Ponerinae","None","Ponera","Yes",23.03,28.4,"Note"
"680","Ponera_leptocephala",44518,"Ponerinae","None","Ponera","Yes",5.333,11.608,"Note"
"681","Ponera_lobulifera",44602,"Ponerinae","None","Ponera","Yes",33.9,38,"Note"
"682","Ponera_mayri",44602,"Ponerinae","None","Ponera","Yes",33.9,38,"Note"
"683","Ponera_wheeleri",44602,"Ponerinae","None","Ponera","Yes",33.9,38,"Note"
"684","Ponerinae",36397,"Ponerinae","None","None","Yes",47.8,56,"Note"
"685","Ponerites",51861,"Ponerinae","None","Ponerites","Yes",33.9,38,"Note"
"686","Ponerites_antropovi",51861,"Ponerinae","None","Ponerites","Yes",33.9,38,"Note"
"687","Ponerites_atavinus",37344,"Ponerinae","None","Ponerites","Yes",11.608,12.7,"Note"
"688","Ponerites_coloradensis",44418,"Ponerinae","None","Ponerites","Yes",46.2,50.3,"Note"
"689","Ponerites_crawleyi",5061,"Ponerinae","None","Ponerites","Yes",33.9,38,"Note"
"690","Ponerites_elongatus",38709,"Ponerinae","None","Ponerites","Yes",11.608,12.7,"Note"
"691","Ponerites_eocenicus",44418,"Ponerinae","None","Ponerites","Yes",46.2,50.3,"Note"
"692","Ponerites_gracilior",38709,"Ponerinae","None","Ponerites","Yes",11.608,12.7,"Note"
"693","Ponerites_hooleyi",51861,"Ponerinae","None","Ponerites","Yes",33.9,38,"Note"
"694","Ponerites_hypoponeroides",44418,"Ponerinae","None","Ponerites","Yes",46.2,50.3,"Note"
"695","Ponerites_kishenehne",55770,"Ponerinae","None","Ponerites","Yes",41.3,47.8,"Note"
"696","Ponerites_nitidus",37344,"Ponerinae","None","Ponerites","Yes",11.608,12.7,"Note"
"697","Ponerites_oblongiceps",51760,"Ponerinae","None","Ponerites","Yes",11.608,12.7,"Note"
"698","Ponerites_tenuis",38709,"Ponerinae","None","Ponerites","Yes",11.608,12.7,"Note"
"699","Ponerites_umbrus",44457,"Ponerinae","None","Ponerites","Yes",11.608,15.97,"Note"
"700","Poneropsis_crassinervis",37344,"Ponerinae","None","Poneropsis","Yes",12.7,13.65,"Note"
"701","Poneropsis_escheri",38709,"Ponerinae","None","Poneropsis","Yes",11.608,12.7,"Note"
"702","Poneropsis_fuliginosa",37344,"Ponerinae","None","Poneropsis","Yes",11.608,12.7,"Note"
"703","Poneropsis_globosa",37344,"Ponerinae","None","Poneropsis","Yes",11.608,12.7,"Note"
"704","Poneropsis_longaeva",37344,"Ponerinae","None","Poneropsis","Yes",11.608,12.7,"Note"
"705","Poneropsis_rhenana",44626,"Ponerinae","None","Poneropsis","Yes",23.03,28.4,"Note"
"706","Poneropsis_stygia",38709,"Ponerinae","None","Poneropsis","Yes",11.608,12.7,"Note"
"707","Poneropsis_veneraria",47508,"Ponerinae","None","Poneropsis","Yes",11.608,12.7,"Note"
"708","Poneropsis_ventrosa",37344,"Ponerinae","None","Poneropsis","Yes",11.608,12.7,"Note"
"709","Protopone_dubia",43781,"Ponerinae","None","Protopone","Yes",40.4,48.6,"Note"
"710","Protopone_germanica",43781,"Ponerinae","None","Protopone","Yes",40.4,48.6,"Note"
"711","Protopone_magna",43781,"Ponerinae","None","Protopone","Yes",40.4,48.6,"Note"
"712","Protopone_oculata",43781,"Ponerinae","None","Protopone","Yes",40.4,48.6,"Note"
"713","Protopone_primigena",44404,"Ponerinae","None","Protopone","Yes",41.3,47.8,"Note"
"714","Protopone_sepulta",43781,"Ponerinae","None","Protopone","Yes",40.4,48.6,"Note"
"715","Protopone_vetula",43781,"Ponerinae","None","Protopone","Yes",40.4,48.6,"Note"
"716","Taphopone_aberrans",51861,"Ponerinae","None","Taphopone","Yes",33.9,38,"Note"
"717","Taphopone_karaganensis",41286,"Ponerinae","None","Taphopone","Yes",11.608,15.97,"Note"
"718","Taphopone_macroptera",51861,"Ponerinae","None","Taphopone","Yes",33.9,38,"Note"
"719","Taphopone_microptera",51861,"Ponerinae","None","Taphopone","Yes",33.9,38,"Note"
"720","Taphopone_petrosa",51861,"Ponerinae","None","Taphopone","Yes",33.9,38,"Note"
"721","Taphopone_stauropolitanus",41286,"Ponerinae","None","Taphopone","Yes",11.608,15.97,"Note"
"722","Bradoponera",44437,"Proceratiinae","None","Bradoponera","Yes",33.9,38,"Note"
"723","Bradoponera_electrina",44437,"Proceratiinae","None","Bradoponera","Yes",33.9,38,"Note"
"724","Bradoponera_meieri",44414,"Proceratiinae","None","Bradoponera","Yes",33.9,38,"Note"
"725","Bradoponera_similis",44602,"Proceratiinae","None","Bradoponera","Yes",33.9,38,"Note"
"726","Bradoponera_wunderlichi",44437,"Proceratiinae","None","Bradoponera","Yes",33.9,38,"Note"
"727","Discothyrea_gigas",44527,"Proceratiinae","None","Discothyrea","Yes",13.82,20.44,"Note"
"728","Discothyrea_maya",44527,"Proceratiinae","None","Discothyrea","Yes",15.97,23.03,"Note"
"729","Proceratium_denticulatum",44629,"Proceratiinae","None","Proceratium","Yes",13.82,20.44,"Note"
"730","Proceratium_dominicanum",40049,"Proceratiinae","None","Proceratium","Yes",13.82,20.44,"Note"
"731","Proceratium_eocenicum",44602,"Proceratiinae","None","Proceratium","Yes",33.9,38,"Note"
"732","Proceratium_gibberum",40049,"Proceratiinae","None","Proceratium","Yes",13.82,20.44,"Note"
"733","Proceratium_petrosum",56094,"Proceratiinae","None","Proceratium","Yes",33.9,38,"Note"
"734","Proceratium_poinari",40049,"Proceratiinae","None","Proceratium","Yes",13.82,20.44,"Note"
"735","Pseudomyrmex_antiquus",44631,"Pseudomyrmecinae","None","Pseudomyrmex","Yes",13.82,20.44,"Note"
"736","Pseudomyrmex_avitus",44631,"Pseudomyrmecinae","None","Pseudomyrmex","Yes",13.82,20.44,"Note"
"737","Pseudomyrmex_baros",44631,"Pseudomyrmecinae","None","Pseudomyrmex","Yes",13.82,20.44,"Note"
"738","Pseudomyrmex_coruscus",44631,"Pseudomyrmecinae","None","Pseudomyrmex","Yes",13.82,20.44,"Note"
"739","Pseudomyrmex_extinctus",4971,"Pseudomyrmecinae","None","Pseudomyrmex","Yes",33.9,37.2,"Note"
"740","Pseudomyrmex_macrops",44631,"Pseudomyrmecinae","None","Pseudomyrmex","Yes",13.82,20.44,"Note"
"741","Pseudomyrmex_nexilis",44631,"Pseudomyrmecinae","None","Pseudomyrmex","Yes",13.82,20.44,"Note"
"742","Pseudomyrmex_oryctus",44631,"Pseudomyrmecinae","None","Pseudomyrmex","Yes",13.82,20.44,"Note"
"743","Pseudomyrmex_prioris",44631,"Pseudomyrmecinae","None","Pseudomyrmex","Yes",13.82,20.44,"Note"
"744","Pseudomyrmex_saxulum",55770,"Pseudomyrmecinae","None","Pseudomyrmex","Yes",41.3,47.8,"Note"
"745","Pseudomyrmex_simplex",44631,"Pseudomyrmecinae","None","Pseudomyrmex","Yes",0,0.0117,"Note"
"746","Pseudomyrmex_succinus",44631,"Pseudomyrmecinae","None","Pseudomyrmex","Yes",13.82,20.44,"Note"
"747","Pseudomyrmex_thecolor",44631,"Pseudomyrmecinae","None","Pseudomyrmex","Yes",13.82,20.44,"Note"
"748","Pseudomyrmex_vicinus",44631,"Pseudomyrmecinae","None","Pseudomyrmex","Yes",13.82,20.44,"Note"
"749","Tetraponera_europaea",44602,"Pseudomyrmecinae","None","Tetraponera","Yes",33.9,38,"Note"
"750","Tetraponera_groehni",44602,"Pseudomyrmecinae","None","Tetraponera","Yes",33.9,38,"Note"
"751","Tetraponera_klebsi",38999,"Pseudomyrmecinae","None","Tetraponera","Yes",28.4,33.9,"Note"
"752","Tetraponera_lacrimarum",40999,"Pseudomyrmecinae","None","Tetraponera","Yes",33.9,38,"Note"
"753","Tetraponera_ocellata",44414,"Pseudomyrmecinae","None","Tetraponera","Yes",33.9,38,"Note"
"754","Tetraponera_oligocenica",38999,"Pseudomyrmecinae","None","Tetraponera","Yes",33.9,37.2,"Note"
"755","Tetraponera_simplex",44414,"Pseudomyrmecinae","None","Tetraponera","Yes",33.9,38,"Note"
"756","Gerontoformica",58266,"Sphecomyrminae","None","Gerontoformica","Yes",93.5,99.6,"Note"
"757","Gerontoformica_contegus",50661,"Sphecomyrminae","None","Gerontoformica","Yes",93.5,99.6,"Note"
"758","Gerontoformica_cretacica",35083,"Sphecomyrminae","None","Gerontoformica","Yes",99.6,105.3,"Note"
"759","Gerontoformica_gracilis",50661,"Sphecomyrminae","None","Gerontoformica","Yes",93.5,99.6,"Note"
"760","Gerontoformica_magnus",50661,"Sphecomyrminae","None","Gerontoformica","Yes",93.5,99.6,"Note"
"761","Gerontoformica_maraudera",58266,"Sphecomyrminae","None","Gerontoformica","Yes",93.5,99.6,"Note"
"762","Gerontoformica_occidentalis",44281,"Sphecomyrminae","None","Gerontoformica","Yes",93.5,99.6,"Note"
"763","Gerontoformica_orientalis",36535,"Sphecomyrminae","None","Gerontoformica","Yes",93.5,99.6,"Note"
"764","Gerontoformica_pilosus",50661,"Sphecomyrminae","None","Gerontoformica","Yes",93.5,99.6,"Note"
"765","Gerontoformica_robustus",50661,"Sphecomyrminae","None","Gerontoformica","Yes",93.5,99.6,"Note"
"766","Gerontoformica_rugosus",50661,"Sphecomyrminae","None","Gerontoformica","Yes",93.5,99.6,"Note"
"767","Gerontoformica_spiralis",50661,"Sphecomyrminae","None","Gerontoformica","Yes",93.5,99.6,"Note"
"768","Gerontoformica_subcuspis",50661,"Sphecomyrminae","None","Gerontoformica","Yes",93.5,99.6,"Note"
"769","Gerontoformica_tendir",50661,"Sphecomyrminae","None","Gerontoformica","Yes",93.5,99.6,"Note"
"770","Haidomyrmex_cerberus",39313,"Sphecomyrminae","None","Haidomyrmex","Yes",93.5,99.6,"Note"
"771","Haidomyrmex_scimitarus",44280,"Sphecomyrminae","None","Haidomyrmex","Yes",93.5,99.6,"Note"
"772","Haidomyrmex_zigrasi",44280,"Sphecomyrminae","None","Haidomyrmex","Yes",93.5,99.6,"Note"
"773","Haidomyrmodes_mammuthus",44281,"Sphecomyrminae","None","Haidomyrmodes","Yes",99.6,105.3,"Note"
"774","Haidoterminus_cippus",47973,"Sphecomyrminae","None","Haidoterminus","Yes",70.6,83.5,"Note"
"775","Sphecomyrminae",36535,"Sphecomyrminae","None","Sphecomyrminae","Yes",89.8,93.9,"Note"
"776","Sphecomyrminae_canadensis",38990,"Sphecomyrminae","None","Sphecomyrminae","Yes",70.6,83.5,"Note"
"777","Sphecomyrminae_freyi",36535,"Sphecomyrminae","None","Sphecomyrminae","Yes",89.8,93.9,"Note"
"778","Sphecomyrminae_mesaki",36535,"Sphecomyrminae","None","Sphecomyrminae","Yes",89.8,93.9,"Note"
"779","Zigrasimecia_ferox",50003,"Sphecomyrminae","None","Zigrasimecia","Yes",93.5,99.6,"Note"
"780","Zigrasimecia_tonsora",47310,"Sphecomyrminae","None","Zigrasimecia","Yes",93.5,99.6,"Note"
"781","Baikuris",48703,"Sphecomyrminae","None","Baikuris","Yes",72.1,83.6,"Note"
"782","Baikuris_casei",5815,"Sphecomyrminae","None","Baikuris","Yes",89.8,93.9,"Note"
"783","Baikuris_mandibularis",39885,"Sphecomyrminae","None","Baikuris","Yes",83.6,89.8,"Note"
"784","Baikuris_maximus",53728,"Sphecomyrminae","None","Baikuris","Yes",99.6,105.3,"Note"
"785","Baikuris_mirabilis",39885,"Sphecomyrminae","None","Baikuris","Yes",83.6,89.8,"Note"
"786","Ceratomyrmex_ellenbergeri",59331,"Sphecomyrminae","None","Ceratomyrmex","Yes",93.5,99.6,"Stem Ant"
"787","Cretomyrma_arnoldii",37059,"Sphecomyrminae","None","Cretomyrma","Yes",83.6,86.3,"Stem Ant"
"788","Cretomyrma_unicornis",37059,"Sphecomyrminae","None","Cretomyrma","Yes",83.6,86.3,"Stem Ant"
"789","Dlusskyidris_zherichini",37059,"Sphecomyrminae","None","Dlusskyidris","Yes",83.6,86.3,"Note"
